Asset,mean_daily_return,mean_annual_return,median_daily_return,daily_volatility,annual_volatility,volatility_of_volatility,sharpe_ratio,sortino_ratio,calmar_ratio,skewness,kurtosis,jarque_bera_stat,var_95,var_99,cvar_95,max_drawdown,price_range_ratio,current_vs_mean_price,price_stability,momentum_5d,vol_adj_momentum_5d,momentum_10d,vol_adj_momentum_10d,momentum_21d,vol_adj_momentum_21d,momentum_63d,vol_adj_momentum_63d,momentum_126d,vol_adj_momentum_126d,momentum_252d,vol_adj_momentum_252d,recent_1month_return,recent_1month_volatility,recent_1month_sharpe,recent_3month_return,recent_3month_volatility,recent_3month_sharpe,recent_vs_historical_return,recent_6month_return,recent_6month_volatility,ma_ratio_20_50,price_vs_ma20,price_vs_ma50,rsi_14,bollinger_position,trend_strength,vol_regime,momentum_acceleration,recent_performance_percentile,rolling_mean_21d,rolling_std_21d,rolling_sharpe_21d,rolling_min_21d,rolling_max_21d,rolling_q25_21d,rolling_q75_21d,vol_stability_21d,rolling_mean_63d,rolling_std_63d,rolling_sharpe_63d,rolling_min_63d,rolling_max_63d,rolling_q25_63d,rolling_q75_63d,vol_stability_63d,rolling_mean_126d,rolling_std_126d,rolling_sharpe_126d,rolling_min_126d,rolling_max_126d,rolling_q25_126d,rolling_q75_126d,vol_stability_126d,rolling_mean_252d,rolling_std_252d,rolling_sharpe_252d,rolling_min_252d,rolling_max_252d,rolling_q25_252d,rolling_q75_252d,vol_stability_252d,market_correlation,max_market_correlation,sector_correlation,max_sector_correlation,mean_correlation,median_correlation,max_correlation,min_correlation,correlation_dispersion,safe_haven_score,sector_ETF_Bonds,sector_Technology,sector_ETF_Small,sector_ETF_Broad,sector_Consumer,sector_ETF_Commodity,sector_REIT,sector_ETF_Emerging,sector_Energy,sector_Utilities,sector_Healthcare,sector_Industrial,sector_Communication,sector_ETF_Tech,sector_Materials,sector_ETF_International,sector_ETF_REIT,sector_Financial,type_Stock,type_ETF,is_etf,is_tech,is_defensive,is_cyclical,is_commodity,bull_market_days,bear_market_days,sideways_market_days,positive_days_ratio,large_move_days,information_ratio_spy,tracking_error_spy,beta_spy,liquidity_proxy,price_impact_proxy,tail_ratio,upside_potential,downside_deviation
AAPL,0.0009417542277577174,0.23732206539494477,0.000988355482227643,0.018165516517683257,0.28836863485695574,0.007058035581031253,0.8229815476037037,0.05142648784056917,0.6248682503934234,-0.016227865469529507,4.0287384205652055,1698.2506767715183,-0.028414684616322183,-0.04905518740122484,-0.042102051392076505,-0.3797953652558349,12.51469226762916,1.9858048942497357,1.500387139046844,0.01821339041660197,1.7572812127492852,0.04438789186136005,3.954500567712924,0.026106533135153098,2.3213956260226825,-0.10522614810019537,-3.8444537173405418,-0.24405280878186186,-10.627714852696988,-0.08264243843599317,-4.413746776454078,0.026106533135153098,0.17852552187674603,1.7548101488711765,-0.10522614810019537,0.4344995254414834,-0.968711282188655,-252.67336496798538,-0.24405280878186186,0.36453915884264465,-0.010347274662652173,0.02249110771191276,0.0119111113802981,57.1319078527807,0.9480121365659672,0.06916366423634761,0.6006262811447454,0.04992664317427775,0.1282051282051282,0.0012881119930820866,0.011246050799140268,0.11453905162695507,-0.019193760422328232,0.022484475164182616,-0.005955319842392948,0.0062905366332437485,133.20086500920925,-0.0013924976835752894,0.027370897359374924,-0.05087511985054955,-0.09175270614325823,0.09367679551235206,-0.011561928443252378,0.007051203262291472,162.34228978938432,-0.001954920238062154,0.022963808510531168,-0.08513048857577916,-0.09175270614325823,0.09367679551235206,-0.011651234103667168,0.007721727835524661,192.0670998343492,-0.00016649469824432772,0.018723873983180025,-0.008892107391552237,-0.09175270614325823,0.09367679551235206,-0.007142088644907174,0.010059072909478162,224.5605962927259,0.7630218196968808,0.8069933965650538,0.5663725494476468,0.6798684793989318,0.4134604748771544,0.39307582153291076,0.8069933965650538,-0.10138860444712527,0.17656215450356097,-0.48356657231135836,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1255.0,1084.0,172.0,0.5316606929510155,0.053763440860215055,0.0300712551862464,0.012353147906900315,1.2447508332474153,55.04935678688509,0.012758521555827266,0.9994835295818001,0.013634057927211816,0.018312629683701426
MSFT,0.0011606139858916639,0.2924747244446993,0.0011110666906537503,0.016732807078669067,0.26562507759707726,0.006608468466661078,1.1010809938975334,0.06950675801469006,0.7873128373666621,0.1360510487606001,3.9780439777007333,1663.4196336596347,-0.026583727901942134,-0.043456784820163644,-0.03799537073864853,-0.3714847650940688,14.083065152173436,2.485918653577967,1.547673624662374,0.02347737379034842,4.457796903908156,0.047267164836881426,6.564468278654116,0.08443797768546712,13.38668043826179,0.29827836367225613,15.41554289044373,0.12164874976420981,6.773695639814192,0.09397172092094475,5.98605074714482,0.08443797768546712,0.10013022624777403,10.119379234381096,0.29827836367225613,0.30715896703344314,3.8843516964918026,-251.07879585136774,0.12164874976420981,0.28509016905299434,0.06841640718522402,0.03941181459730858,0.11052463653793043,76.21173382500534,0.9147600515753073,0.01517449363593165,0.4017983427369841,0.4343274721303517,0.9914529914529915,0.0038864137864988305,0.006307611366005696,0.6161466775591642,-0.008165062964850311,0.018014256835915177,0.001943957263130125,0.00821350291827172,142.51652077166332,0.0043316989073773375,0.0193491961841423,0.22386970839271328,-0.0366059709875346,0.08689310898477728,-0.004617173935818342,0.009463470112533456,171.92365679788767,0.0010695253276095165,0.017958992584371027,0.05955374849590842,-0.06180906015663257,0.08689310898477728,-0.008083395170291913,0.008013187293378077,199.47926063792514,0.0004786716663373359,0.015698450429236073,0.03049165065654377,-0.06180906015663257,0.08689310898477728,-0.0071337420082934755,0.00830377908132962,238.40495847608724,0.8116957229022689,0.8615266076045347,0.6143187989122179,0.7205472366819902,0.43381173327953876,0.3998652242607301,0.8615266076045347,-0.10263503898054567,0.19485746385733413,-0.508083689058747,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1270.0,1051.0,190.0,0.5420151334129829,0.050577459179609714,0.056510317951351655,0.010446489112023682,1.2173430183705582,59.76283568551968,0.01175398177804802,0.9599449057020183,0.01291648566148121,0.01669785815138107
GOOGL,0.0008922485465188938,0.22484663372276126,0.001202432626390193,0.018121509724004267,0.2876700486645241,0.00655886283396311,0.7816129442970741,0.048598540326551434,0.5074997662743628,0.023278401391559643,3.99791509525077,1672.4821679537629,-0.02822474393747254,-0.05029837499596838,-0.04213670970161742,-0.44304775817611997,7.64733809569554,1.971883607767888,1.9520132081398367,0.06683209106464338,4.11896418400037,0.00893111338493724,0.43160963074077596,0.026669071536094213,1.5215672740778705,0.13928792989533778,5.833751897497904,-0.10239757538569527,-4.599745027744474,-0.04032851165609841,-2.0100148292434254,0.026669071536094213,0.27823836191899665,1.1501967457898574,0.13928792989533778,0.37902320456321237,1.4699673077362496,-251.65823400804678,-0.10239757538569527,0.3533915697836658,0.03886460067040498,0.021576349882878265,0.06127950677540617,50.19574845033365,0.704481338732643,0.06633192253873184,0.8735822567004177,0.35142526492638304,0.7863247863247863,0.0014004445666233125,0.017527369305610677,0.07990044268508777,-0.0385414704147482,0.0325187398698803,-0.009303688178676217,0.014254130375519258,142.79059897387444,0.0023510730690540506,0.023876217628500555,0.09846924272660434,-0.07259689872418995,0.09298539370606168,-0.01140002774997434,0.016249795550314583,176.7630708870895,-0.0006105118753606826,0.022261576406531133,-0.027424467351807563,-0.07292373337949898,0.09298539370606168,-0.013346036366239544,0.014891185450287114,206.8615261816368,3.763926732238471e-05,0.02006378812203997,0.0018759801037291739,-0.07292373337949898,0.09298539370606168,-0.011121327171565082,0.012283175415759018,239.53662008278653,0.7454012991720628,0.7939821388169065,0.5882385461388144,0.7205472366819902,0.39872714270104975,0.37424800366978167,0.7939821388169065,-0.0944222996778343,0.1862820244281825,-0.49666437812444103,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1275.0,1067.0,169.0,0.5356431700517722,0.056551174830744726,0.02544591667709634,0.01265307066390039,1.20655803889032,55.18304022293306,0.012744427216325759,0.9568232063496495,0.01330195014188433,0.018359575010351098
NVDA,0.002717339001070761,0.6847694282698318,0.0027219186309397347,0.030671038374643435,0.48688763994855144,0.010317803133362901,1.4064218766000922,0.09098957960161377,1.0322882387525405,0.2018127064969278,3.7392885990663762,1479.9407863549147,-0.045436535774286746,-0.07659174114863004,-0.06681671335607114,-0.6633509930301398,338.0729780247602,5.867388546564343,0.6863487042408083,0.09585910730208802,5.644678425190857,0.11284077012549076,7.053154980787142,0.13514596511931454,7.931876385003217,0.4084717699694247,11.806029209968186,0.12108364779801528,3.217896227499064,0.24384985015665017,6.891959800347359,0.13514596511931454,0.270475179171142,5.995934955664151,0.4084717699694247,0.549235328005287,2.9748397391181123,-251.02941125299637,0.12108364779801528,0.5973291814181263,0.11534382541824817,0.0844142023413259,0.20949468477725275,77.37789398724716,1.0,0.17183918821879948,0.4815566552633518,0.6125142849128722,0.7863247863247863,0.006192034704422544,0.017038334759582812,0.3634178334792946,-0.02916879492152613,0.04334012120781927,-0.003939507323248437,0.016650659240576182,88.87523766587248,0.006028074799057829,0.034598573551261516,0.17422899791306676,-0.07806555640509083,0.1606735740859948,-0.008279184145215168,0.025284608119427898,118.09168258106396,0.0016161246353729077,0.03762820154462254,0.042949824042384205,-0.15507780184638797,0.1606735740859948,-0.017140110356974575,0.02588836564132324,153.09871052014668,0.0014925238989216523,0.035381786490449374,0.0421833956667092,-0.15507780184638797,0.1606735740859948,-0.017632451454660303,0.02305676097638515,202.94984218976288,0.6920569584645108,0.7553468302578572,0.5377978273246671,0.6249776537844268,0.3349103665885138,0.33005587277811094,0.7553468302578572,-0.0653646576119319,0.18574377968315847,-0.42953429009905647,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1341.0,1086.0,84.0,0.5475906013540423,0.054958183990442055,0.08640251467188208,0.02484950171332924,1.8570118625874008,32.604047759489184,0.022030737655148857,1.1192276709224884,0.02459048353973391,0.029864287899430703
META,0.0011635566819659703,0.29321628385542453,0.0011388321107257404,0.022214865695909247,0.35265006024045414,0.008477130497465353,0.8314652878706309,0.05270284053833364,0.42475278791843246,0.08930691101279836,5.096644754868474,2721.0546347528966,-0.03563215527622143,-0.06132325306096194,-0.05142003357739092,-0.6903222114029595,9.040556890374566,2.9747892579848614,1.6987409341791904,0.05663320959646323,4.8916110373902635,0.08169629519640309,5.063625211376058,0.14511730361064834,8.867430961039208,0.252378833586125,8.354523399703371,0.1895344835817323,7.302073160705719,0.41139115955933625,17.997319632226056,0.14511730361064834,0.2597895363197969,6.703147740269778,0.252378833586125,0.47954737660019026,2.1051420226747615,-251.26515851750418,0.1895344835817323,0.4120427972100904,0.09685134866196132,0.05711264909643887,0.1594954348490476,67.1169893382634,1.0,-0.03589114009944956,0.7159360962429975,0.3025588177243439,0.8717948717948718,0.006599928438776352,0.016365202531404006,0.4032903611251629,-0.019288045717108848,0.03615504060254793,-0.005231432860710261,0.019569642444600577,110.48129113703763,0.004022707195477768,0.030208645246608004,0.13316410460113104,-0.08958264925882498,0.12213815212975304,-0.008097621087756135,0.021196859154376635,133.9664254591434,0.0017104388836208676,0.025956256450793327,0.06589697889845705,-0.08958264925882498,0.12213815212975304,-0.012110022003900045,0.0165880694575839,150.33372218425893,0.0016275476781319326,0.022858468258945504,0.07120108222890233,-0.08958264925882498,0.12213815212975304,-0.009721504694395422,0.013344571726458587,170.9991033943784,0.6833012702879196,0.7444101039283054,0.5515260205103129,0.6696029539784241,0.3520877988524404,0.32531761453703456,0.7444101039283054,-0.06865100981454055,0.18215034697049315,-0.413156393670756,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1265.0,1114.0,132.0,0.5284747112704102,0.05017921146953405,0.03454020565470955,0.017176421101858862,1.333276205390477,45.01490189896331,0.01539871020629622,0.9462199409417619,0.01654772747868834,0.022077684429924648
TSLA,0.0017982449221291546,0.45315772037654695,0.001260661839917132,0.037070262033038204,0.5884721662525125,0.01295840188617802,0.7700580356456446,0.050673569598797416,0.6154340261887697,0.2520283248894315,3.742596765244272,1492.067969737308,-0.054615500967012065,-0.09292215161513102,-0.08164285461811928,-0.7363221744219121,50.10022780449498,2.433789331302455,1.0854229509510802,-0.08896406351171293,-6.646032087624923,-0.023516012277202125,-0.668990060864387,-0.11374603087568769,-2.510529911442565,0.16749731606236518,3.442616801250369,-0.3343992727155377,-7.130860015861341,0.5273470498696728,11.553177564958657,-0.11374603087568769,0.7192355102707861,-1.8977822299045817,0.16749731606236518,0.7723594041791356,0.8674578967048715,-251.77140145645853,-0.3343992727155377,0.7444296863813654,0.035385929891023515,-0.019239449577710954,0.015465674499413717,54.07834014212659,0.3988200134731632,0.22606989489551446,0.9926034455399407,0.5973883161296343,0.6666666666666666,-0.00471970560544526,0.04530757843483666,-0.10417033459939483,-0.14259893789082123,0.0823193093872907,-0.023545920693855638,0.0180179597897272,72.78582525871677,0.0036126575694324175,0.048654069195714716,0.07425191004888462,-0.14259893789082123,0.1884077770644856,-0.023045053610485255,0.03305555536738192,87.11306758471147,-0.0021374872526285535,0.04689466235092616,-0.045580608655056,-0.1542620682219512,0.1884077770644856,-0.031990815764685904,0.024249837674887365,98.04324171051893,0.0027107644121443985,0.045645195610006205,0.05938772692103773,-0.1542620682219512,0.1884077770644856,-0.02431384738472342,0.030776800290283846,112.45689922740041,0.5164637199770258,0.5606802324497039,0.4075240264430331,0.43702266829537967,0.26097880460084305,0.26475900317461065,0.5606802324497039,-0.04198329124519267,0.13993912723004906,-0.36577525593097904,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1268.0,1174.0,69.0,0.5169255276782159,0.054958183990442055,0.037042094021994446,0.033150538322810646,1.655616026796272,26.975800686511683,0.02606570312939349,1.109073206323531,0.02858348653622088,0.035486841293529685
JNJ,0.0003642170679213167,0.0917827011161718,0.0004095988994834432,0.011192515424023252,0.17767567414332103,0.004504542582476203,0.5165743794625247,0.03202658515200349,0.3384401293257744,-0.12460851005658162,5.462722246664419,3128.6477727679826,-0.01636233555094624,-0.031727250703989684,-0.026418537172106505,-0.2711933165225332,2.438666584512472,1.210615324647544,4.775134790349857,0.009450122961713436,3.4130624615772507,-0.027689407603519567,-3.116924537145987,-0.005404361382725709,-0.6707566455888633,-0.04027296699961269,-2.7770838898097945,0.0858730065911344,6.606630757261167,0.09560735450717317,8.33547161633548,-0.005404361382725709,0.12790268698353802,-0.5070443641348634,-0.04027296699961269,0.23021037779377448,-0.6997593659429159,-252.2587867143257,0.0858730065911344,0.20633690132342658,0.0030365035090780257,-0.006022428604402941,-0.003004212220915292,41.76630613744016,0.3883536559390769,-0.026552004264386597,0.7024546206755568,-0.17171239639275893,0.21367521367521367,-0.00022701126816230635,0.008057111947032822,-0.028175265486525526,-0.01829658752451957,0.010613392781474218,-0.006306279060679154,0.005749372687535281,209.1713980377957,-0.0005474062299347631,0.014501890687346494,-0.03774723184283812,-0.05757744998677376,0.028707610245258808,-0.006740103595244795,0.007765955622933252,259.2334327869761,0.0007384736007897787,0.012998003028510974,0.05681438903883505,-0.05757744998677376,0.04134292008516072,-0.0052650169846407135,0.008703823823765944,309.2214796438145,0.0004281486944844036,0.011469939423680143,0.03732789500182308,-0.05757744998677376,0.04134292008516072,-0.005389782078148081,0.006314741594546314,368.15826583642934,0.4354618261562117,0.48312692653868183,0.4677320845857998,0.5304234474083188,0.33314768491733193,0.344246941064148,0.5419861646220182,-0.09774862679275133,0.1335755322594397,-0.17067370070148355,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1183.0,1070.0,258.0,0.5193150139386699,0.04500199123855038,-0.018332609328414348,0.011240216440720872,0.4955073547585732,89.34542076695578,0.007745591810967949,0.9901857355816067,0.0080681261727572,0.011372335395506016
PFE,0.0001512423710367393,0.03811307750125831,0.0,0.01478899585212403,0.23476803099051569,0.005683504954893172,0.16234355819425017,0.010421702928723017,0.06464008215269483,0.1193854728407484,3.573837470386282,1342.2682148840943,-0.022351024610903047,-0.038970159260173776,-0.03310429614711269,-0.5896198802969712,2.804510996951298,0.8409250629801139,4.2356474547441465,0.008739037805744365,1.5109682655402932,-0.012224985053661985,-1.6714594671912808,0.03368865596913917,3.357445213252324,-0.020133584983226593,-1.0747508922264124,-0.0609269059789046,-3.9084293497436398,-0.056865791842203195,-3.8087432778874732,0.03368865596913917,0.15928505164558643,2.5379900213685347,-0.020133584983226593,0.2973812401613544,-0.27081176973103516,-252.1205926163847,-0.0609269059789046,0.24746120799144408,0.029969340006411382,0.009327110375424885,0.039575977723954825,55.55556427685594,0.620733052503445,-0.03679577158467105,0.6720558410687117,0.021497927609210987,0.41025641025641024,0.0016267584244747733,0.01003401510057866,0.16212437475611916,-0.01639342724524051,0.026552416349285846,-0.004688776952073037,0.007407420198650039,165.4047862784206,-0.0001486976031954496,0.018733257286736166,-0.007937626698840728,-0.0543433726860425,0.036355450672310496,-0.011539153891650111,0.011650021196258131,203.77600066267385,-0.0003775346009876683,0.015588590844785515,-0.024218648417086146,-0.0543433726860425,0.036355450672310496,-0.00984600022590168,0.010267372398184205,242.49549108266015,-0.00012100253694690373,0.014930329427123756,-0.008104478708090649,-0.0543433726860425,0.046732639580117086,-0.0093565227079829,0.009727595690144197,286.79283840829476,0.423156952869658,0.46046988824956386,0.4515722363790291,0.5304234474083188,0.3016919732662862,0.31629669459221166,0.5304234474083188,-0.06981707353533116,0.11140889844593704,-0.18974619580385685,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1161.0,1153.0,197.0,0.49183592194344883,0.054958183990442055,-0.030466427884170744,0.013754063825672512,0.6240236982358929,67.61784302322174,0.01046734230425388,1.0586052620675073,0.01079484458285617,0.014512251219510745
UNH,0.0007148686955330489,0.18014691127432833,0.0007686443770489326,0.01661434579415495,0.2637445630041956,0.007183529367499545,0.6830355447799794,0.04306624962642559,0.4377092788965605,0.022931200547407188,6.308780867369877,4164.369978922149,-0.02379471731450311,-0.05063163468917518,-0.038680379730251506,-0.41156749459017217,6.544005581591579,0.9902541828250572,2.096844728729281,0.03754825335883161,2.88112902611562,0.0020878641950161647,0.1647680496193688,0.053709684983814565,3.8279240329079784,-0.19009821483623301,-6.220947195902594,-0.17066224821180176,-6.759164539366963,-0.12645292679274434,-5.617524275964059,0.053709684983814565,0.22273556357100718,2.89363857963484,-0.19009821483623301,0.4850894103058162,-1.5675313523450358,-252.96381496513953,-0.17066224821180176,0.40081569045327037,-0.09788027018128864,0.02433416565267499,-0.07592793923733376,60.56077823345822,0.8401478758147495,0.0001084562286710686,0.6233118263036624,-0.2140961451784914,0.0,0.0025876984760111834,0.014031021650921535,0.1844269462616949,-0.016894538525957348,0.025566719008651262,-0.011485895362049914,0.012543130927845203,132.75668532006853,-0.002874050187412963,0.030557760554765747,-0.09405303710859565,-0.08897945991638948,0.0821486219613361,-0.012979137160153809,0.009924881750934866,158.28543158833907,-0.001162222091385794,0.02524901520266661,-0.046030392950258466,-0.08897945991638948,0.0821486219613361,-0.010464160858310284,0.011974749748523084,181.53932528567776,-0.00028044502322633827,0.022510437085924824,-0.012458444149966908,-0.08897945991638948,0.0821486219613361,-0.008222787633433287,0.010586957377532125,214.07770848610312,0.4663704227633115,0.5020857272367006,0.38707200108540935,0.4224346221793962,0.31539010496701825,0.3384669936064748,0.5020857272367006,-0.12937246440227565,0.11381082432675071,-0.2268599211114414,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1234.0,1107.0,170.0,0.5256869772998806,0.04500199123855038,0.009905673207748942,0.014596598111481028,0.7644028216534399,60.18894829742905,0.011232659556530722,1.0386560479827887,0.011889962190694018,0.016599279058058566
ABBV,0.0007715601836852851,0.19443316628869184,0.0011611317550768163,0.016041707788158027,0.2546542164734049,0.006003038068183848,0.7635183464908294,0.04623990254504089,0.5272767901057833,-0.24772798417093084,4.800723388837855,2436.969617506278,-0.02366634313380306,-0.047010587590045436,-0.03832022185285083,-0.368749715400301,6.635005201794737,1.943696416535115,2.02102982650928,0.010121901752028872,0.6292324862863196,-0.02857445395408109,-1.9956984289968593,2.220446049250313e-16,2.064931612752223e-14,-0.08745962042922184,-4.137684240794192,0.05056676304007657,2.829674265523455,0.17809906509489926,10.686720686074548,2.220446049250313e-16,0.17070051162000785,1.560941577627975e-14,-0.08745962042922184,0.335544800351528,-1.0425984290335741,-252.5572381824335,0.05056676304007657,0.2836801703424887,0.007423421229433513,-0.009786399907705468,-0.002435627247106553,42.33100969738961,0.33281589319526583,-0.0629112813418304,0.6452341889869635,-0.23871471725487592,0.07692307692307693,5.549596424736514e-05,0.010753121486143593,0.005160916699293029,-0.02818822626850981,0.018155875173712976,-0.001151356597210218,0.004804167984048702,154.92261625788657,-0.0012278147394419257,0.021137335605975277,-0.058087488524089896,-0.07280301922898036,0.03375254682199591,-0.009955913610501521,0.011571386869562272,199.02228717596319,0.0005518243768827478,0.017870171014444405,0.030879636039112878,-0.07280301922898036,0.04696848296101286,-0.006906181167744524,0.009899986626999868,252.10480103433514,0.0007902816810344857,0.01666545522491041,0.0474203476814258,-0.08353652335522707,0.06360512663390994,-0.006416017990625883,0.00943468382043916,336.1970035255995,0.4182179871175494,0.44835734720311576,0.4286636767686514,0.4605823633941033,0.2881032650766619,0.2991303467082841,0.4605823633941033,-0.09990849334385914,0.10848609253641299,-0.19532158336802308,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1270.0,1072.0,169.0,0.5392273994424532,0.050577459179609714,0.013587416229653801,0.014813752341679837,0.6590768424895715,62.33750254060849,0.011210283099956597,1.0110987265922184,0.01165932783999479,0.01668602529890135
