feature,importance
momentum_acceleration,0.79131555624825
correlation_dispersion,0.7496123200845795
safe_haven_score,0.7335663179879259
rolling_sharpe_63d,0.7088980091339083
rolling_mean_63d,0.7033469568487658
recent_3month_return,0.6924861978530601
momentum_63d,0.6924861978530601
bollinger_position,0.6495929214697307
market_correlation,0.640340486901412
is_cyclical,0.6235913838149996
rsi_14,0.5537025952848347
trend_strength,0.5483409534717716
is_defensive,0.49904552244984335
vol_regime,0.46586239707242205
mean_correlation,0.46241741257452895
recent_1month_return,0.4294133484063323
momentum_21d,0.4294133484063323
is_tech,0.42024886101039427
vol_stability_63d,0.39939025993999133
rolling_std_63d,0.3950150763077711
annual_volatility,0.39067099003418515
mean_annual_return,0.37965449131806994
max_drawdown,0.33137003948869564
sortino_ratio,0.2647393267818119
sharpe_ratio,0.2555754843419893
is_commodity,0.25055741429289785
is_etf,0.2008928571428571
sector_correlation,0.19968397045340333
recent_6month_return,0.002862380376074933
